sourceName,startDate,endDate,activityType,duration,durationUnit,duration,durationUnit ,totalEnergyBurned,HKWeatherHumidity,HKIndoorWorkout,HKWeatherTemperature,HKTimeZone,HKAverageMETs
Susan’s Apple Watch,2022-11-30 02:09:52 +0000,2022-11-30 03:20:05 +0000,Pickleball,4213.420203,sec,70.22367005,min,449.824 kcal,6400 %,0,49.172 degF,America/Los_Angeles,6.82786 kcal/hr·kg
Susan’s Apple Watch,2022-12-01 05:16:29 +0000,2022-12-01 07:04:33 +0000,Pickleball,4856.220583,sec,80.93700971,min,549.471 kcal,8000 %,0,76.478 degF,Pacific/Honolulu,5.95509 kcal/hr·kg
Susan’s Apple Watch,2022-12-06 05:34:13 +0000,2022-12-06 05:41:26 +0000,Pickleball,432.2887599,sec,7.204812666,min,42.4303 kcal,7800 %,0,75.578 degF,Pacific/Honolulu,6.31055 kcal/hr·kg
Susan’s Apple Watch,2022-12-07 07:15:27 +0000,2022-12-07 07:56:21 +0000,Pickleball,2453.658661,sec,40.89431102,min,265.76 kcal,,0,,Pacific/Honolulu,6.75335 kcal/hr·kg
Susan’s Apple Watch,2022-12-09 03:19:15 +0000,2022-12-09 03:47:25 +0000,Pickleball,1690.598864,sec,28.17664773,min,171.05 kcal,7200 %,0,77.504 degF,Pacific/Honolulu,6.2559 kcal/hr·kg
Susan’s Apple Watch,2022-12-10 00:43:47 +0000,2022-12-10 04:05:20 +0000,Pickleball,9223.584349,sec,153.7264058,min,1133.04 kcal,6400 %,0,78.53 degF,Pacific/Honolulu,6.19362 kcal/hr·kg
Susan’s Apple Watch,2022-12-11 20:26:05 +0000,2022-12-11 22:26:37 +0000,Pickleball,7095.945362,sec,118.265756,min,871.688 kcal,7800 %,0,46.58 degF,America/Los_Angeles,7.61992 kcal/hr·kg
Susan’s Apple Watch,2022-12-13 00:40:12 +0000,2022-12-13 02:17:36 +0000,Pickleball,5289.303567,sec,88.15505945,min,589.208 kcal,7500 %,0,48.92 degF,America/Los_Angeles,6.86389 kcal/hr·kg
Susan’s Apple Watch,2022-12-14 02:05:17 +0000,2022-12-14 05:03:41 +0000,Pickleball,9035.977554,sec,150.5996259,min,1113.36 kcal,7600 %,0,47.03 degF,America/Los_Angeles,7.10301 kcal/hr·kg
Susan’s Apple Watch,2022-12-18 23:10:14 +0000,2022-12-19 01:13:52 +0000,Pickleball,6442.178641,sec,107.369644,min,728.531 kcal,5800 %,0,53.078 degF,America/Los_Angeles,6.76138 kcal/hr·kg
Susan’s Apple Watch,2022-12-19 19:11:39 +0000,2022-12-19 20:36:40 +0000,Pickleball,4962.452618,sec,82.70754364,min,633.094 kcal,7600 %,0,44.546 degF,America/Los_Angeles,7.87773 kcal/hr·kg
Susan’s Apple Watch,2022-12-21 02:24:00 +0000,2022-12-21 05:08:25 +0000,Pickleball,9229.733808,sec,153.8288968,min,1328.93 kcal,7400 %,0,48.308 degF,America/Los_Angeles,8.64966 kcal/hr·kg
Susan’s Apple Watch,2022-12-21 22:19:30 +0000,2022-12-22 00:51:45 +0000,Pickleball,7644.505755,sec,127.4084292,min,983.511 kcal,6000 %,0,57.164 degF,America/Los_Angeles,7.62521 kcal/hr·kg
Susan’s Apple Watch,2022-12-22 02:01:57 +0000,2022-12-22 02:17:55 +0000,Pickleball,957.8459359,sec,15.96409893,min,100.779 kcal,6800 %,0,51.242 degF,America/Los_Angeles,6.68569 kcal/hr·kg
Susan’s Apple Watch,2022-12-22 22:09:21 +0000,2022-12-23 00:48:20 +0000,Pickleball,7804.286077,sec,130.0714346,min,825.372 kcal,7000 %,0,56.642 degF,America/Los_Angeles,6.12422 kcal/hr·kg
Susan’s Apple Watch,2022-12-23 20:26:38 +0000,2022-12-23 22:53:16 +0000,Pickleball,4620.408966,sec,77.0068161,min,614.177 kcal,7400 %,0,56.714 degF,America/Los_Angeles,7.18166 kcal/hr·kg
Susan’s Apple Watch,2022-12-26 00:31:05 +0000,2022-12-26 02:47:50 +0000,Pickleball,7127.537953,sec,118.7922992,min,962.739 kcal,7500 %,0,58.82 degF,America/Los_Angeles,7.92481 kcal/hr·kg
